ALV-7004 CGS-8F Data, Single Run Data
Date :	"05.01.2021"
Time :	"15:57:40"
Samplename : 	"7 2021 MW002-03"
SampMemo(0) : 	"nach ca 3 Monaten, kein Detektor abgeschwächt, "
SampMemo(1) : 	"unverdünnt"
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.93468
Viscosity [cp]  :	       1.00705
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      34.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      66.00000
Angle(4)[°]     :	      82.00000
Angle(5)[°]     :	      98.00000
Angle(6)[°]     :	     114.00000
Angle(7)[°]     :	     130.00000
Angle(8)[°]     :	     146.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	     134.13045
MeanCR2 [kHz]   :	     105.01161
MeanCR3 [kHz]   :	      95.19587
MeanCR4 [kHz]   :	      81.53889
MeanCR5 [kHz]   :	      87.28458
MeanCR6 [kHz]   :	     109.75345
MeanCR7 [kHz]   :	     131.54471
MeanCR8 [kHz]   :	     194.24171
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	  5.67101E-001	  6.60166E-001	  6.27114E-001	  6.52317E-001	  6.66211E-001	  6.93074E-001	  7.17763E-001	  6.32100E-001
  2.00000E-004	  9.59393E-001	  9.73269E-001	  9.73050E-001	  9.90361E-001	  9.91722E-001	  9.72271E-001	  1.00733E+000	  9.79338E-001
  3.00000E-004	  9.54455E-001	  9.54475E-001	  9.75887E-001	  9.81530E-001	  9.79459E-001	  9.56357E-001	  9.89599E-001	  9.64988E-001
  4.00000E-004	  9.47387E-001	  9.45958E-001	  9.76821E-001	  9.60412E-001	  9.78470E-001	  9.63781E-001	  9.86371E-001	  9.65035E-001
  5.00000E-004	  9.47780E-001	  9.49667E-001	  9.73852E-001	  9.71256E-001	  9.78595E-001	  9.58123E-001	  9.81722E-001	  9.60165E-001
  6.00000E-004	  9.46317E-001	  9.45014E-001	  9.88330E-001	  9.74670E-001	  9.73404E-001	  9.63588E-001	  9.90385E-001	  9.63167E-001
  7.00000E-004	  9.46123E-001	  9.50525E-001	  9.75389E-001	  9.73444E-001	  9.72502E-001	  9.65317E-001	  9.83536E-001	  9.66013E-001
  8.00000E-004	  9.52778E-001	  9.46430E-001	  9.71735E-001	  9.66857E-001	  9.59362E-001	  9.53045E-001	  9.79590E-001	  9.63891E-001
  9.00000E-004	  9.49031E-001	  9.47933E-001	  9.68330E-001	  9.71671E-001	  9.76314E-001	  9.46054E-001	  9.84277E-001	  9.62908E-001
  1.00000E-003	  9.42111E-001	  9.41420E-001	  9.67998E-001	  9.73729E-001	  9.79825E-001	  9.37628E-001	  9.80346E-001	  9.58163E-001
  1.10000E-003	  9.44293E-001	  9.61769E-001	  9.72925E-001	  9.55740E-001	  9.79524E-001	  9.55989E-001	  9.62293E-001	  9.59294E-001
  1.20000E-003	  9.44002E-001	  9.47374E-001	  9.54932E-001	  9.70840E-001	  9.57456E-001	  9.50286E-001	  9.85849E-001	  9.53270E-001
