ALV-7004 CGS-8F Data, Single Run Data
Date :	"11.05.2021"
Time :	"09:21:57"
Samplename : 	"092 2021 Toluol"
SampMemo(0) : 	"Toluol-Messung "
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.95108
Viscosity [cp]  :	       1.00665
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      26.00000
Angle(2)[°]     :	      42.00000
Angle(3)[°]     :	      58.00000
Angle(4)[°]     :	      74.00000
Angle(5)[°]     :	      90.00000
Angle(6)[°]     :	     106.00000
Angle(7)[°]     :	     122.00000
Angle(8)[°]     :	     138.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	      32.30945
MeanCR2 [kHz]   :	      24.36891
MeanCR3 [kHz]   :	      22.31208
MeanCR4 [kHz]   :	      18.51959
MeanCR5 [kHz]   :	      18.62893
MeanCR6 [kHz]   :	      24.07384
MeanCR7 [kHz]   :	      29.49318
MeanCR8 [kHz]   :	      43.91340
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	 -1.20064E-001	  1.20808E-001	 -9.19305E-002	 -7.09659E-004	  3.25139E-002	  2.59082E-001	  2.56812E-001	 -7.09396E-002
  2.00000E-004	  4.54183E-002	  9.85737E-002	  6.19796E-002	  7.83207E-002	  1.09320E-001	  8.67727E-002	  1.25137E-001	  5.29990E-002
  3.00000E-004	 -7.45138E-003	  5.09429E-002	  3.11975E-002	  3.96463E-002	  6.38685E-002	  2.66569E-002	  7.31965E-002	  3.08785E-002
  4.00000E-004	 -1.46275E-002	  6.56059E-002	 -1.28179E-002	  1.94683E-002	  5.19586E-002	  2.09635E-002	  7.20734E-002	  3.62289E-002
  5.00000E-004	  9.35127E-004	  5.17096E-002	  4.45748E-002	  5.59808E-002	  4.61252E-002	  2.71593E-002	  6.57564E-002	  1.33897E-002
  6.00000E-004	  3.87473E-003	  4.28927E-002	 -2.30306E-002	  2.23509E-002	  3.15417E-002	  3.21829E-002	  2.16774E-002	  1.69034E-002
  7.00000E-004	  8.02476E-003	  6.09145E-003	  2.67384E-002	 -3.59224E-003	  1.84165E-002	 -2.98233E-003	  3.37500E-002	  9.39683E-003
  8.00000E-004	  4.65283E-003	  3.12006E-002	  1.13469E-003	  1.85074E-002	 -1.99868E-002	 -4.65689E-003	  4.21727E-002	  1.16328E-002
  9.00000E-004	  2.14259E-002	  4.74972E-003	  7.46370E-003	 -1.51225E-002	  1.11265E-002	  2.68244E-002	 -8.36371E-003	  1.22717E-002
  1.00000E-003	  2.88613E-002	  1.43334E-002	  8.03906E-003	  4.92548E-002	 -3.16519E-002	  1.37144E-003	  2.42042E-002	 -1.86077E-004
  1.10000E-003	  1.91779E-002	  1.20333E-002	  1.13469E-003	  4.92548E-002	  2.37656E-002	  1.74470E-002	 -2.07170E-002	  2.82431E-002
  1.20000E-003	  1.13966E-002	 -1.21175E-002	 -2.99350E-002	  2.13900E-002	 -8.31823E-003	 -1.60437E-002	  1.07278E-002	 -1.26438E-002
  1.30000E-003	 -6.41391E-003	 -2.70680E-002	  4.65885E-002	 -7.43570E-003	 -2.29018E-002	  2.07960E-002	  5.56491E-002	 -2.28656E-002
  1.40000E-003	  9.32162E-003	  1.29960E-003	 -2.59075E-002	 -3.59227E-003	 -5.40152E-003	  1.81168E-002	  5.45260E-002	 -1.29633E-002
  1.50000E-003	  2.93801E-002	 -1.36509E-002	 -1.44002E-002	  3.48420E-002	  4.32085E-003	  2.81640E-002	 -1.45404E-002	  8.75795E-003
  1.60000E-003	  1.57195E-002	 -7.32461E-003	  4.58682E-003	  5.64612E-002	  1.64756E-002	 -4.65545E-003	 -5.02542E-004	  7.48017E-003
  1.80000E-003	  8.71635E-003	 -4.44951E-003	  2.01217E-002	  1.27422E-002	  2.61980E-002	 -2.54197E-002	  2.92578E-002	  7.00103E-003
  2.00000E-003	 -8.14314E-003	 -8.47465E-003	  2.84645E-002	 -3.57810E-002	  2.86286E-002	  1.04154E-002	 -2.74860E-003	  2.12156E-002
