ALV-7004 CGS-8F Data, Single Run Data
Date :	"11.05.2021"
Time :	"09:37:16"
Samplename : 	"093 2021 Wasser"
SampMemo(0) : 	"Wasser-Messung "
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.95659
Viscosity [cp]  :	       1.00667
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      34.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      66.00000
Angle(4)[°]     :	      82.00000
Angle(5)[°]     :	      98.00000
Angle(6)[°]     :	     114.00000
Angle(7)[°]     :	     130.00000
Angle(8)[°]     :	     146.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	       4.07289
MeanCR2 [kHz]   :	       2.70570
MeanCR3 [kHz]   :	       2.52784
MeanCR4 [kHz]   :	       2.90304
MeanCR5 [kHz]   :	       2.42110
MeanCR6 [kHz]   :	       2.05413
MeanCR7 [kHz]   :	       1.80685
MeanCR8 [kHz]   :	       1.46079
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	  2.04715E+000	  4.56658E+000	  1.64741E+000	  1.44612E+000	  1.34432E+000	  2.99206E+000	  4.16976E+000	  8.99593E-001
  2.00000E-004	  1.50022E+000	  1.68115E+000	  7.97868E-001	  1.24702E+000	  5.82664E-001	  2.26320E-001	  1.60765E+000	  1.96040E-001
  3.00000E-004	  1.10956E+000	  6.08690E-001	  2.64434E-001	  1.43190E+000	  4.44181E-001	  2.13274E-001	  4.34779E-001	  2.11116E-001
  4.00000E-004	 -2.96812E-001	  4.81016E-001	 -3.08512E-001	  5.21713E-001	 -6.02935E-002	  1.75845E-002	  7.42232E-001	 -1.00457E-001
  5.00000E-004	  3.28244E-001	  4.81016E-001	 -2.88756E-001	  3.08389E-001	 -1.49318E-001	  4.36764E-002	  3.89231E-001	  2.26192E-001
  6.00000E-004	  1.71980E-001	 -1.82888E-001	  1.45894E-001	  7.91924E-001	  8.94801E-003	 -1.38967E-001	 -4.34805E-002	  2.46294E-001
  7.00000E-004	  6.40773E-001	 -2.85027E-001	  6.68665E-002	  4.79048E-001	  8.80812E-002	 -8.67832E-002	  4.76166E-002	  1.65888E-001
  8.00000E-004	 -2.18680E-001	 -1.82888E-001	 -2.09729E-001	  8.77253E-001	  2.26564E-001	  2.52412E-001	  2.29811E-001	  1.65888E-001
  9.00000E-004	  9.38483E-002	 -1.82888E-001	 -5.16742E-002	  1.94616E-001	  2.87313E-002	  9.58602E-002	  1.84262E-001	  3.26700E-001
  1.00000E-003	  7.18905E-001	  2.13903E-002	 -3.67783E-001	  4.79048E-001	  6.82979E-002	  2.52412E-001	  2.06799E-003	  4.52787E-002
  1.10000E-003	  9.38483E-002	  2.25668E-001	  1.85407E-001	  5.92821E-001	  2.87313E-002	  5.65515E-001	 -8.90291E-002	  4.52787E-002
